,Team,MP,Simulated Pts,Simulated GD
0,Roma,38,85,58
4,AC Milan,38,75,28
1,Inter Milan,38,74,39
6,Juventus,38,72,32
7,Como,38,67,21
15,Monza,38,62,22
9,Sassuolo,38,62,17
2,Lazio,38,56,4
10,Atalanta,38,54,-7
13,Torino,38,50,-3
17,Bologna,38,49,0
8,Napoli,38,48,-1
3,Cagliari,38,48,-10
16,Fiorentina,38,47,-20
5,Frosinone,38,41,-26
14,Udinese,38,38,-18
11,Lecce,38,37,-25
18,Genoa,38,35,-24
12,Parma,38,33,-29
19,Venezia,38,22,-58
