,Team,MP,Simulated Pts,Simulated GD
5,Paris Saint-Germain,34,71,46
1,Lyon,34,70,39
2,Paris FC,34,68,27
12,Toulouse,34,66,33
10,Brest,34,64,29
4,Rennes,34,62,6
0,Monaco,34,58,8
16,Marseille,34,50,8
14,Lens,34,46,7
3,Lille,34,43,-8
7,Strasbourg,34,38,-14
9,Auxerre,34,37,-28
6,Angers,34,36,-10
17,Havre,34,35,-13
8,Le Mans,34,34,-14
11,Lorient,34,31,-12
15,Troyes,34,27,-50
13,Nice,34,19,-54
