,Team,MP,Simulated Pts,Simulated GD
1,Roma,38,86,72
7,Juventus,38,85,80
11,Sassuolo,38,84,80
10,Como,38,82,49
3,Napoli,38,77,36
6,Cagliari,38,77,34
17,Monza,38,67,26
0,AC Milan,38,61,11
13,Bologna,38,53,17
15,Parma,38,49,-11
2,Inter Milan,38,47,2
8,Lazio,38,46,-8
9,Udinese,38,43,-13
16,Genoa,38,41,-8
5,Atalanta,38,39,-44
12,Torino,38,35,-46
14,Frosinone,38,32,-42
18,Venezia,38,30,-56
19,Fiorentina,38,19,-41
4,Lecce,38,19,-138
