,Team,MP,Simulated Pts,Simulated GD
9,Lens,34,82,45
5,Strasbourg,34,61,0
7,Lorient,34,58,14
4,Paris FC,34,57,16
8,Paris Saint-Germain,34,54,18
1,Monaco,34,54,12
2,Rennes,34,53,3
12,Marseille,34,52,22
0,Lille,34,52,11
3,Lyon,34,50,-3
16,Toulouse,34,43,3
6,Brest,34,42,-6
13,Le Mans,34,42,-14
15,Havre,34,39,-10
14,Auxerre,34,34,-29
17,Nice,34,33,-25
11,Troyes,34,30,-25
10,Angers,34,25,-32
