,Team,MP,Simulated Pts,Simulated GD
1,Inter Milan,38,96,124
0,Roma,38,87,62
4,Como,38,78,34
7,Juventus,38,75,30
5,AC Milan,38,74,30
9,Napoli,37,69,29
8,Sassuolo,38,65,29
2,Lazio,38,59,8
13,Udinese,38,54,-3
3,Cagliari,38,54,-9
16,Bologna,38,52,8
14,Monza,38,48,1
15,Fiorentina,37,42,-22
12,Torino,38,39,-24
19,Venezia,38,39,-29
17,Parma,38,34,-47
18,Genoa,38,26,-41
11,Lecce,38,26,-68
10,Atalanta,38,25,-47
6,Frosinone,38,23,-65
