,Team,MP,Simulated Pts,Simulated GD
0,Marseille,34,71,55
11,Lorient,34,67,31
4,Monaco,34,64,37
10,Paris FC,34,63,28
1,Lens,34,61,39
5,Brest,34,59,25
7,Rennes,34,56,9
14,Toulouse,34,50,16
6,Paris Saint-Germain,34,47,-8
2,Lille,34,44,-4
3,Lyon,34,42,-14
15,Angers,34,41,-7
13,Havre,34,39,-18
8,Le Mans,34,36,-24
12,Nice,34,32,-33
9,Troyes,34,27,-36
16,Auxerre,34,18,-48
17,Strasbourg,34,18,-48
