,Team,MP,Simulated Pts,Simulated GD
0,Bayern Munich,34,89,94
1,Borussia Dortmund,34,70,34
2,Hoffenheim,34,63,17
3,Bayer Leverkusen,34,58,17
5,Freiburg,34,48,-4
4,Eintracht Frankfurt,34,47,-1
6,Augsburg,34,40,-21
7,Mainz 05,34,38,-11
10,FC Cologne,34,37,-10
9,Union Berlin,34,35,-20
8,Werder Bremen,34,33,-20
11,Hamburger SV,34,32,-21
12,St. Pauli,34,30,-30
13,Wolfsburg,34,26,-30
