,Team,MP,Simulated Pts,Simulated GD
1,Marseille,34,84,48
2,Lens,34,75,51
10,Paris FC,34,75,39
6,Brest,34,71,38
11,Lorient,34,59,15
12,Nice,34,55,4
7,Rennes,34,54,10
5,Paris Saint-Germain,34,53,6
4,Monaco,34,50,14
15,Angers,34,46,4
14,Toulouse,34,44,5
3,Lyon,34,44,-5
9,Troyes,34,33,-15
13,Havre,34,31,-21
0,Lille,34,26,-36
8,Le Mans,34,24,-45
16,Auxerre,34,21,-62
17,Strasbourg,34,12,-50
