,Team,MP,Simulated Pts,Simulated GD
0,Napoli,38,77,21
1,AC Milan,38,74,22
2,Juventus,38,73,33
3,Como,38,71,41
4,Roma,38,67,21
5,Atalanta,38,66,27
6,Lazio,38,53,3
7,Bologna,38,52,-2
8,Sassuolo,38,51,-3
9,Udinese,38,49,-3
10,Torino,38,49,-13
11,Genoa,38,43,-14
13,Cagliari,38,40,-17
12,Fiorentina,38,37,-12
15,Cremonese,38,32,-28
14,Lecce,38,31,-28
16,Verona,38,21,-37
17,Pisa,38,21,-43
