,Team,Avg Position,Title,CL,EL,UECL,Relegation
2,Arsenal,1.4428,0.6585,0.997,0.0018,0.0008,0.0
1,Manchester City,2.0855,0.3025,0.9795,0.0101,0.0061,0.0
3,Brighton & Hove Albion,5.1074,0.0161,0.6589,0.0981,0.0709,0.0007
4,Manchester United,5.5258,0.0108,0.5998,0.1071,0.0803,0.0021
0,Liverpool,7.4502,0.0039,0.3549,0.1158,0.1008,0.0095
11,Brentford,8.0558,0.0022,0.2946,0.1097,0.1016,0.0134
8,AFC Bournemouth,8.2996,0.0026,0.2759,0.1042,0.0992,0.0186
6,Leeds United,8.6807,0.0012,0.2379,0.0992,0.1013,0.0231
5,Chelsea,8.9508,0.0014,0.2204,0.0972,0.0973,0.0263
13,Everton,10.7894,0.0002,0.1058,0.0584,0.0715,0.0603
16,Newcastle United,12.3147,0.0003,0.0607,0.037,0.0511,0.1197
12,Sunderland,12.6823,0.0,0.0491,0.0332,0.0423,0.1414
15,Crystal Palace,12.8916,0.0002,0.043,0.0323,0.0427,0.1524
14,Hull City,13.2105,0.0,0.0356,0.0271,0.0359,0.1641
10,Aston Villa,13.5031,0.0001,0.0354,0.0231,0.0298,0.1929
9,Nottingham Forest,13.5143,0.0,0.0324,0.0241,0.0328,0.1879
17,Ipswich Town,15.7647,0.0,0.0078,0.008,0.0116,0.399
7,Fulham,16.1701,0.0,0.005,0.0063,0.01,0.4442
18,Coventry City,16.5319,0.0,0.0044,0.0037,0.0092,0.4919
19,Tottenham Hotspur,17.0288,0.0,0.0019,0.0036,0.0048,0.5525
