,Team,MP,Simulated Pts,Simulated GD
0,Barcelona,38,92,65
16,Villarreal,38,78,49
2,Real Madrid,38,75,40
7,Osasuna,38,64,15
1,Alavés,38,63,9
5,Atlético Madrid,38,57,6
14,Rayo Vallecano,38,57,3
6,Sevilla,38,52,-7
3,Real Betis,38,51,-4
9,Athletic Club,38,49,8
12,Racing Santander,38,48,-3
18,Elche,38,48,-16
11,Espanyol,38,45,-2
10,Levante,38,45,-13
8,Real Sociedad,38,45,-20
15,Celta Vigo,38,41,-9
19,Valencia,38,41,-18
4,Deportivo La Coruña,38,32,-45
13,Getafe,38,31,-27
17,Málaga,38,29,-31
